"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","textStemming"
"624"," jeunesocialiste quelle est la position du  ps sur l arbitrage prive dans   tafta   pas de reforme possible    noisds  ducourage  stoptafta",FALSE,0,"JeuneSocialiste",2015-02-05 20:07:52,FALSE,NA,"563428818166509568","210239640","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avenir_radieux",0,FALSE,FALSE,NA,NA,"#ps"," jeunesocial    posit   p   arbitrag priv    taft     reform possibl    noisd  ducourag  stoptaft"
"625","rt  sandrinefromla   blaemag  foxla23 sauf que je cherche tj a savoir qui a paye la campagne de  taubira et qui a elimine  jospin  ps une v ",FALSE,0,NA,2015-02-05 20:07:40,FALSE,NA,"563428766312304642",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MOREL76694450",4,TRUE,FALSE,NA,NA,"#ps","rt  sandrinefroml   blaemag  foxla23 sauf   cherch tj a savoir  a pay  campagn   taub   a elimin  jospin  p  v"
"626","ou encore   nkm    le  ps desespere la france  le  fn la defigurerait  et l ump la decridibiliserait avec ses divisions et affaires  lt",FALSE,0,NA,2015-02-05 20:07:38,FALSE,NA,"563428757072269312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TopsicD",0,FALSE,FALSE,NA,NA,"#ps"," encor   nkm      p desesper  franc    fn  defigur    ump  decridibilis   divis  affair  lt"
"627"," manuelvalls quelle est la position du  ps sur l arbitrage prive dans   tafta   pas de reforme possible    noisds  ducourage  stoptafta",FALSE,0,"manuelvalls",2015-02-05 20:07:32,FALSE,NA,"563428734456573953","70385068","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avenir_radieux",0,FALSE,FALSE,NA,NA,"#ps"," manuelvall    posit   p   arbitrag priv    taft     reform possibl    noisd  ducourag  stoptaft"
"628","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:07:18,FALSE,NA,"563428674225983488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NGourd",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"629","rt  denis baupin    arthurnazaret   aubry    tenons nos promesses sur  fessenheim  imperatif de credibilite et de cohesion de la gauche   c ",FALSE,0,NA,2015-02-05 20:07:11,FALSE,NA,"563428646397173760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DuvergerJ",3,TRUE,FALSE,NA,NA,"#ps","rt  den baupin    arthurnazaret   aubry    tenon  promess   fessenheim  imper  credibilit   cohes   gauch   "
"630","rt  sandrinefromla   blaemag  foxla23 sauf que je cherche tj a savoir qui a paye la campagne de  taubira et qui a elimine  jospin  ps une v ",FALSE,0,NA,2015-02-05 20:07:10,FALSE,NA,"563428638939693059",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FOXLA23",4,TRUE,FALSE,NA,NA,"#ps","rt  sandrinefroml   blaemag  foxla23 sauf   cherch tj a savoir  a pay  campagn   taub   a elimin  jospin  p  v"
"631"," nkm  laurenceferrari       car si le  ps desespere les francais  le  fn defigurerait la france   cc  nk m  lafrancedroite  ump  tirscroises",FALSE,0,NA,2015-02-05 20:07:08,FALSE,NA,"563428630416859137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NML_75001",0,FALSE,FALSE,NA,NA,"#ps"," nkm  laurenceferrar       car si   p desesper  franc    fn defigur  franc   cc  nk   lafrancedroit  ump  tirscrois"
"632"," nkm  laurenceferrari  je ne renvoie pas dos a dos  ps  amp   fn que je ne place pas sur le meme plan cc  nk m  lafrancedroite  ump  tirscroises",FALSE,0,NA,2015-02-05 20:06:12,FALSE,NA,"563428396727029760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NML_75001",1,FALSE,FALSE,NA,NA,"#ps"," nkm  laurenceferrar    renvoi  dos a dos  p  amp   fn    plac    mem plan cc  nk   lafrancedroit  ump  tirscrois"
"633","nkm    le  ps desespere la france  le  fn la defigurerait  et l ump la fait fatigue nerveusement avec ses divisions et affaires",FALSE,0,NA,2015-02-05 20:05:56,FALSE,NA,"563428330914185218",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TopsicD",0,FALSE,FALSE,NA,NA,"#ps","nkm      p desesper  franc    fn  defigur    ump  fait fatigu nerveux   divis  affair"
"634","  arthurnazaret   aubry    tenons nos promesses sur  fessenheim  imperatif de credibilite et de cohesion de la gauche   contribution  ps",FALSE,0,"ArthurNazaret",2015-02-05 20:05:40,FALSE,"563421925708689408","563428263075536898","46903714","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Denis_Baupin",3,FALSE,FALSE,NA,NA,"#ps","  arthurnazaret   aubry    tenon  promess   fessenheim  imper  credibilit   cohes   gauch   contribu  p"
"635","  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait  http   t co 55ntev6h5k http   t co ss1ungzfjn  le nom  lt  lt  lt ",FALSE,0,NA,2015-02-05 20:04:48,FALSE,NA,"563428044749422593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnaLaBlonde2",0,FALSE,FALSE,NA,NA,"#ps","  itel  interview  nkm  gt     p desesper  franc    fn  defigur  http    co 55ntev6h5k http    co ss1ungzfjn   nom  lt  lt  lt"
"636","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:04:40,FALSE,NA,"563428009638920192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DELAVOGE997",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"637"," sondage ifop 53    pr le candidat  ps dimanche a la legislative partielle face a la candidate  fn pronant l inegalite ds races  republique ",FALSE,1,NA,2015-02-05 20:04:18,FALSE,NA,"563427919998246912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThierryWetzel",0,FALSE,FALSE,"0","0","#ps"," sondag ifop 53    pr  candidat  p dimanch a  legisl partiel fac a  candidat  fn pron  inegalit d rac  republ"
"638","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:04:18,FALSE,NA,"563427917842354177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fati_arif",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"639","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:04:12,FALSE,NA,"563427893230178306",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Doddogo_BF",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"640","rt  arthurnazaret   aubry    tenons nos promesses sur  fessenheim  c est un imperatif de credibilite et de cohesion de la gauche   contribu ",FALSE,0,NA,2015-02-05 20:04:06,FALSE,NA,"563427868718694404",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","culturaholic",8,TRUE,FALSE,NA,NA,"#ps","rt  arthurnazaret   aubry    tenon  promess   fessenheim     imper  credibilit   cohes   gauch   contribu"
"641","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:03:43,FALSE,NA,"563427771066908672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julesdu02",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"642","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:03:38,FALSE,NA,"563427752469356546",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ychaffaud",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"643","les impots a la hollande      http   t co 0bfb44rsxp   france  hollande  impot  ps  socialiste",FALSE,0,NA,2015-02-05 20:03:21,FALSE,NA,"563427678720913408",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","KutGeorges",0,FALSE,FALSE,NA,NA,"#ps"," impot a  holland      http    co 0bfb44rsxp   franc  holland  impot  p  social"
"644","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:03:07,FALSE,NA,"563427622534012928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saralaurentjp",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"645","interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,5,NA,2015-02-05 20:02:50,FALSE,NA,"563427549888675840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","itele",18,FALSE,FALSE,NA,NA,"#ps","interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"646","rt  thomas guenole  itw  ouestfrance    cette  confpr fut un petard mouille    fhollande a gache une occasion historique   http   t co fdvm ",FALSE,0,NA,2015-02-05 20:02:18,FALSE,NA,"563427415893225474",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","demontvalon1",4,TRUE,FALSE,NA,NA,"#ps","rt  thom guenol  itw  ouestfr      confpr   petard mouill    fholland a gach  occas histor   http    co fdvm"
"647"," blaemag  foxla23 sauf que je cherche tj a savoir qui a paye la campagne de  taubira et qui a elimine  jospin  ps une vraie question    ",FALSE,0,"blaemag",2015-02-05 20:01:43,FALSE,"563303769610678272","563427270304759808","581070678","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandrinefromLA",4,FALSE,FALSE,NA,NA,"#ps"," blaemag  foxla23 sauf   cherch tj a savoir  a pay  campagn   taub   a elimin  jospin  p  vrai question   "
"648","  vpecresse investie a l unanimite par l  ump    pendant que le  ps cherche toujours un candidat   avecvalerie http   t co art0swn1o5",FALSE,0,NA,2015-02-05 20:00:52,FALSE,NA,"563427054637838337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KetchABHAY",0,FALSE,FALSE,NA,NA,"#ps","  vpecress invest a  unanimit    ump    pend    p cherch toujour  candidat   avecvaler http    co art0swn1o5"
